A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
         17,          0, 4, 0,         17,z,z,z
         17,          1, 4, 1,         34,z,z,z
         17,          2, 4, 2,         68,z,z,z
         17,          4, 4, 3,        136,z,z,z
         17,          8, 4, 4,        272,z,z,z
         17,         16, 4, 5,        544,z,z,z
         17,         32, 4, 6,       1088,z,z,z
         17,         64, 4, 7,       2176,z,z,z
         17,        128, 4, 8,       4352,z,z,z
         17,        256, 4, 9,       8704,z,z,z
         17,        512, 4,10,      17408,z,z,z
         17,       1024, 4,11,      34816,z,z,z
         17,       2048, 4,12,      69632,z,z,z
         17,       4096, 4,13,     139264,z,z,z
         17,       8192, 4,14,     278528,z,z,z
         17,      16384, 4,15,     557056,z,z,z
         17,      32768, 4,16,    1114112,z,z,z
         17,      65536, 4,17,    2228224,z,z,z
         17,     131072, 4,18,    4456448,z,z,z
         17,     262144, 4,19,    8912896,z,z,z
         17,     524288, 4,20,   17825792,z,z,z
         17,    1048576, 4,21,   35651584,z,z,z
         17,    2097152, 4,22,   71303168,z,z,z
         17,    4194304, 4,23,  142606336,z,z,z
         17,    8388608, 4,24,  285212672,z,z,z
         17,   16777216, 4,25,  570425344,z,z,z
         17,   33554432, 4,26, 1140850688,z,z,z
         17,   67108864, 4,27,-2013265920,z,z,z
         17,  134217728, 4,28,  268435456,z,z,z
         17,  268435456, 4,29,  536870912,z,z,z
         17,  268435456, 4,30, 1073741824,z,z,z
         17,  268435456, 4,31,-2147483648,z,z,z
